timestamp,open,high,low,close,volume,vwap
2026-08-28T17:00:00Z,769.68,769.71,768.84,768.9,95253,769.179902
2026-08-28T17:01:00Z,768.93,769.0,768.77,768.82,66361,768.868366
2026-08-28T17:02:00Z,768.81,769.0998,768.66,769.03,77023,768.884852
2026-08-28T17:03:00Z,769.03,769.211,768.92,769.2099,81897,769.065372
2026-08-28T17:04:00Z,769.21,769.45,768.99,768.995,60331,769.200684
2026-08-28T17:05:00Z,769.0,769.01,768.805,768.87,50910,768.903746
2026-08-28T17:06:00Z,768.865,768.9,768.55,768.59,68006,768.704213
2026-08-28T17:07:00Z,768.59,768.76,768.472,768.67,75525,768.628889
2026-08-28T17:08:00Z,768.67,768.83,768.62,768.82,50019,768.707493
2026-08-28T17:09:00Z,768.81,768.825,768.47,768.49,57930,768.656856
2026-08-28T17:10:00Z,768.48,768.58,768.3076,768.56,67549,768.465095
2026-08-28T17:11:00Z,768.57,768.85,768.55,768.81,60676,768.690135
2026-08-28T17:12:00Z,768.83,769.14,768.83,769.0,100127,768.975668
2026-08-28T17:13:00Z,768.99,769.16,768.9,769.1599,35272,769.038965
2026-08-28T17:14:00Z,769.145,769.35,769.04,769.35,40612,769.223267
2026-08-28T17:15:00Z,769.35,769.41,768.96,769.14,30793,769.161641
2026-08-28T17:16:00Z,769.14,769.14,768.94,769.09,24816,769.033188
2026-08-28T17:17:00Z,769.09,769.36,768.955,769.36,47903,769.168204
2026-08-28T17:18:00Z,769.36,769.37,769.03,769.07,50041,769.143737
2026-08-28T17:19:00Z,769.09,769.335,769.09,769.13,119353,769.192387
2026-08-28T17:20:00Z,769.13,769.22,768.9,768.9,69226,769.124404
2026-08-28T17:21:00Z,768.91,768.93,768.7,768.88,48792,768.849555
2026-08-28T17:22:00Z,768.905,768.965,768.58,768.62,57332,768.778063
2026-08-28T17:23:00Z,768.61,768.98,768.59,768.63,44100,768.757448
2026-08-28T17:24:00Z,768.64,768.975,768.63,768.975,28122,768.778477
2026-08-28T17:25:00Z,768.86,769.02,768.77,768.86,21636,768.898176
2026-08-28T17:26:00Z,768.86,769.0,768.81,768.87,24862,768.905841
2026-08-28T17:27:00Z,768.87,769.06,768.84,768.97,33651,768.964485
2026-08-28T17:28:00Z,768.98,769.325,768.98,769.19,50415,769.177789
2026-08-28T17:29:00Z,769.19,769.28,768.81,768.82,46533,769.054823
2026-08-28T17:30:00Z,768.84,768.96,768.72,768.86,42531,768.843604
2026-08-28T17:31:00Z,768.88,769.07,768.8,769.07,37311,768.939301
2026-08-28T17:32:00Z,769.07,769.27,768.96,769.27,27527,769.07222
2026-08-28T17:33:00Z,769.28,769.46,769.248,769.4,24794,769.388394
2026-08-28T17:34:00Z,769.395,769.46,769.25,769.34,33820,769.365766
2026-08-28T17:35:00Z,769.34,769.49,769.3,769.44,32870,769.382532
2026-08-28T17:36:00Z,769.42,769.48,769.31,769.42,21176,769.394661
2026-08-28T17:37:00Z,769.43,769.5,769.1,769.26,48037,769.242888
2026-08-28T17:38:00Z,769.265,769.29,769.085,769.12,56593,769.197568
2026-08-28T17:39:00Z,769.12,769.14,768.6,768.66,75746,769.003883
2026-08-28T17:40:00Z,768.659,768.96,768.64,768.87,62120,768.81764
2026-08-28T17:41:00Z,768.89,768.97,768.8398,768.93,37826,768.892574
2026-08-28T17:42:00Z,768.94,769.15,768.87,769.0699,35329,768.962524
2026-08-28T17:43:00Z,769.09,769.16,768.91,769.0,30763,769.056054
2026-08-28T17:44:00Z,769.02,769.09,768.86,769.07,21838,768.971756
2026-08-28T17:45:00Z,769.05,769.19,768.89,769.16,25237,769.042999
2026-08-28T17:46:00Z,769.16,769.54,769.15,769.4511,37639,769.387355
2026-08-28T17:47:00Z,769.45,769.49,769.3,769.3,34144,769.412228
2026-08-28T17:48:00Z,769.3,769.55,769.3,769.54,44596,769.471388
2026-08-28T17:49:00Z,769.5449,769.73,769.51,769.66,28792,769.623352
2026-08-28T17:50:00Z,769.66,769.66,769.5,769.5,32771,769.552613
2026-08-28T17:51:00Z,769.5,769.6201,769.425,769.565,32459,769.518705
2026-08-28T17:52:00Z,769.565,769.74,769.549,769.549,32497,769.634423
2026-08-28T17:53:00Z,769.55,769.62,769.52,769.56,26535,769.567821
2026-08-28T17:54:00Z,769.58,769.6,769.45,769.5,22608,769.525099
2026-08-28T17:55:00Z,769.5,769.5,769.08,769.15,35783,769.247294
2026-08-28T17:56:00Z,769.15,769.215,769.09,769.17,39203,769.133102
2026-08-28T17:57:00Z,769.17,769.4,769.15,769.25,24539,769.263878
2026-08-28T17:58:00Z,769.2446,769.5,769.24,769.47,22040,769.348508
2026-08-28T17:59:00Z,769.48,769.58,769.4601,769.5399,19309,769.527084
2026-08-28T18:00:00Z,769.56,769.67,769.47,769.48,37155,769.554853
2026-08-28T18:01:00Z,769.47,769.535,769.34,769.475,44837,769.424864
2026-08-28T18:02:00Z,769.49,769.75,769.4299,769.71,28818,769.5642
2026-08-28T18:03:00Z,769.7,769.75,769.59,769.74,42438,769.686711
2026-08-28T18:04:00Z,769.755,769.8,769.51,769.52,38997,769.641682
2026-08-28T18:05:00Z,769.5,769.75,769.48,769.57,29566,769.601603
2026-08-28T18:06:00Z,769.55,769.62,769.42,769.46,20037,769.505998
2026-08-28T18:07:00Z,769.47,769.68,769.44,769.51,24950,769.540183
2026-08-28T18:08:00Z,769.49,769.58,769.34,769.58,34597,769.470518
2026-08-28T18:09:00Z,769.56,769.69,769.47,769.57,44402,769.604969
2026-08-28T18:10:00Z,769.58,769.7,769.56,769.7,34928,769.646548
2026-08-28T18:11:00Z,769.69,769.78,769.56,769.71,28302,769.665821
2026-08-28T18:12:00Z,769.7,769.76,769.62,769.709,23266,769.681581
2026-08-28T18:13:00Z,769.71,769.735,769.46,769.495,28755,769.555229
2026-08-28T18:14:00Z,769.48,769.5,769.2,769.22,84002,769.333201
2026-08-28T18:15:00Z,769.23,769.485,769.2,769.44,33421,769.320738
2026-08-28T18:16:00Z,769.44,769.525,769.3,769.305,28683,769.436878
2026-08-28T18:17:00Z,769.3,769.36,769.14,769.33,32044,769.284738
2026-08-28T18:18:00Z,769.33,769.5299,769.32,769.42,32245,769.422952
2026-08-28T18:19:00Z,769.43,769.47,769.38,769.415,20149,769.422511
2026-08-28T18:20:00Z,769.41,769.57,769.37,769.41,21803,769.46284
2026-08-28T18:21:00Z,769.41,769.53,769.36,769.49,26508,769.425629
2026-08-28T18:22:00Z,769.49,769.505,769.33,769.36,20977,769.408444
2026-08-28T18:23:00Z,769.36,769.36,768.93,768.99,61087,769.150701
2026-08-28T18:24:00Z,769.0,769.15,769.0,769.07,61432,769.068184
2026-08-28T18:25:00Z,769.06,769.11,768.89,769.04,40170,768.983573
2026-08-28T18:26:00Z,769.05,769.2,768.99,769.1701,32174,769.110567
2026-08-28T18:27:00Z,769.19,769.33,769.15,769.195,27833,769.255287
2026-08-28T18:28:00Z,769.19,769.27,769.11,769.25,26952,769.190956
2026-08-28T18:29:00Z,769.245,769.285,769.04,769.06,30565,769.172801
2026-08-28T18:30:00Z,769.01,769.17,769.005,769.03,52118,769.04296
2026-08-28T18:31:00Z,769.01,769.275,769.0,769.21,36347,769.107527
2026-08-28T18:32:00Z,769.22,769.25,769.07,769.07,25099,769.183909
