timestamp,open,high,low,close,volume,vwap
2026-08-28T17:00:00Z,716.65,716.6666,715.48,715.5735,80298,715.89122
2026-08-28T17:01:00Z,715.61,715.69,715.4,715.58,60092,715.550703
2026-08-28T17:02:00Z,715.53,715.92,715.28,715.75,51856,715.637673
2026-08-28T17:03:00Z,715.78,716.12,715.6957,716.06,298341,715.901124
2026-08-28T17:04:00Z,716.08,716.455,715.84,715.85,28697,716.155394
2026-08-28T17:05:00Z,715.84,715.84,715.42,715.54,34879,715.648054
2026-08-28T17:06:00Z,715.51,715.59,715.085,715.18,46120,715.319999
2026-08-28T17:07:00Z,715.1738,715.57,715.11,715.46,108165,715.352251
2026-08-28T17:08:00Z,715.455,715.76,715.4,715.71,52150,715.550713
2026-08-28T17:09:00Z,715.74,715.795,715.4001,715.4001,18544,715.601599
2026-08-28T17:10:00Z,715.4,715.49,715.1437,715.425,55509,715.353837
2026-08-28T17:11:00Z,715.42,715.68,715.3609,715.65,23941,715.520678
2026-08-28T17:12:00Z,715.65,716.06,715.65,715.92,49358,715.87243
2026-08-28T17:13:00Z,715.9,716.07,715.755,716.06,37411,715.933746
2026-08-28T17:14:00Z,716.06,716.2395,715.9282,716.23,43500,716.118031
2026-08-28T17:15:00Z,716.22,716.3,715.82,716.02,60248,716.078404
2026-08-28T17:16:00Z,716.0,716.0551,715.75,715.94,35847,715.891662
2026-08-28T17:17:00Z,715.99,716.35,715.87,716.34,20027,716.205838
2026-08-28T17:18:00Z,716.345,716.35,716.0,716.04,44469,716.114136
2026-08-28T17:19:00Z,716.065,716.3,716.065,716.08,10818,716.155522
2026-08-28T17:20:00Z,716.06,716.27,715.84,715.87,27049,716.093168
2026-08-28T17:21:00Z,715.88,715.88,715.4918,715.715,31420,715.687999
2026-08-28T17:22:00Z,715.71,715.87,715.45,715.49,41919,715.714242
2026-08-28T17:23:00Z,715.48,715.95,715.47,715.47,32093,715.681309
2026-08-28T17:24:00Z,715.505,715.97,715.49,715.97,23433,715.742732
2026-08-28T17:25:00Z,716.02,716.08,715.69,715.775,14958,715.838866
2026-08-28T17:26:00Z,715.78,715.96,715.7,715.79,30540,715.8381
2026-08-28T17:27:00Z,715.76,716.07,715.75,716.0,25230,715.96244
2026-08-28T17:28:00Z,716.0,716.47,716.0,716.3135,44761,716.286064
2026-08-28T17:29:00Z,716.2946,716.37,715.83,715.89,37095,716.117137
2026-08-28T17:30:00Z,715.84,716.085,715.75,716.0,16871,715.933033
2026-08-28T17:31:00Z,716.0,716.25,715.865,716.24,17725,716.088266
2026-08-28T17:32:00Z,716.27,716.448,716.1,716.4374,26642,716.26687
2026-08-28T17:33:00Z,716.45,716.68,716.41,716.57,61635,716.583532
2026-08-28T17:34:00Z,716.56,716.58,716.41,716.509,27683,716.511228
2026-08-28T17:35:00Z,716.52,716.68,716.51,716.63,24289,716.589277
2026-08-28T17:36:00Z,716.6275,716.68,716.475,716.5899,17720,716.56655
2026-08-28T17:37:00Z,716.64,716.72,716.16,716.385,105515,716.312497
2026-08-28T17:38:00Z,716.41,716.43,716.16,716.22,14035,716.340084
2026-08-28T17:39:00Z,716.27,716.31,715.67,715.74,35940,716.090383
2026-08-28T17:40:00Z,715.73,716.1133,715.7,715.9214,21788,715.916873
2026-08-28T17:41:00Z,715.9347,716.13,715.9,716.07,19730,716.037815
2026-08-28T17:42:00Z,716.06,716.36,715.96,716.24,31585,716.082578
2026-08-28T17:43:00Z,716.23,716.3799,716.099,716.21,65623,716.20896
2026-08-28T17:44:00Z,716.29,716.3,716.0,716.21,26346,716.169866
2026-08-28T17:45:00Z,716.19,716.45,716.075,716.415,13223,716.251415
2026-08-28T17:46:00Z,716.39,716.9,716.3804,716.7984,52658,716.698111
2026-08-28T17:47:00Z,716.79,716.87,716.68,716.68,53293,716.817192
2026-08-28T17:48:00Z,716.69,717.1,716.6803,717.075,59015,716.997275
2026-08-28T17:49:00Z,717.06,717.28,717.06,717.17,33893,717.196662
2026-08-28T17:50:00Z,717.19,717.2,717.025,717.04,38835,717.098867
2026-08-28T17:51:00Z,717.04,717.1783,716.88,717.1,37894,717.048201
2026-08-28T17:52:00Z,717.0886,717.29,717.0305,717.0305,39906,717.157936
2026-08-28T17:53:00Z,717.05,717.16,717.01,717.06,18942,717.096922
2026-08-28T17:54:00Z,717.07,717.16,716.91,717.0,31259,717.027072
